pesel;name;surname;email;phone_num;born;address;disability;medical_specialization
40286501194;Jake;Franecki;IYkFjmKoHj@example.com;167551482;Apr 16 1958;39538 Lila Hollow;0;Radiation oncology
11860887286;Ruthie;Sauer;XAKuJwDVhx@example.com;141102177;Sep 3 1934;654 Elden Islands;1;Surgery
49337013433;Nicky;Witting;qeZGlIagSi@example.com;629641615;Apr 27 1995;2343 Antione Creek;1;Neurology
77167737753;Blaine;Jacobi;oaLkEygiqt@example.com;212457657;Jan 11 1982;35512 Linn Points;0;Preventive medicine
83134187317;Hans;Heller;CVPXawOLfF@example.com;353725700;Nov 18 1966;590 Beahan Wells;1;Nuclear medicine
42881647607;Marcelino;Kirlin;fvWBncaFmu@example.com;673096717;Dec 28 1940;906 Kunde Inlet;1;Diagnostic radiology
53676996455;Alex;Zboncak;eKDYdroBVS@example.com;674141242;Sep 25 1948;8683 Mohr Pine;0;Surgery
76925104406;Marty;Wolf;VRvEAhNbSB@example.com;552505594;Jan 7 1994;74615 Federico Spur;1;Physical medicine and rehabilitation
65047936313;Jarrod;Blanda;bfYqrKRigJ@example.com;592920384;Jan 4 1991;3286 Bartell Burgs;0;Urology
23567022254;Jackeline;Bruen;oOSRqHZOdz@example.com;197469149;Oct 9 1984;58401 Pacocha Rest;1;Emergency medicine
73467115253;Tamar;Schimmel;RisKSjDeih@example.com;955226357;Jul 27 1989;819 Chester Fork;0;Internal medicine
54182970790;Treena;Buckridge;SYZetACTZl@example.com;542371913;May 23 1977;85968 Hank Curve;1;Ophthalmology
49059081220;Nannette;Abbott;wXWIKjaZEd@example.com;617012441;Oct 30 1959;40841 Demarcus Greens;1;Diagnostic radiology
63046107635;Santiago;Gutkowski;ghKtCqYobO@example.com;400818172;May 21 2016;4992 Natosha Forks;1;Nuclear medicine
58819150276;Dwight;Kris;jDrzVVnUSJ@example.com;576168520;Jan 3 1999;1141 Dare Trail;1;Preventive medicine
48576144250;Reiko;Schaefer;wtJsuQnOYB@example.com;440274460;Apr 18 1948;037 Sharen Underpass;1;Dermatology
41026095457;Cassandra;Bradtke;UCUTxMDhYR@example.com;627161411;Jan 4 1946;1680 Kreiger Unions;1;Surgery
35592340804;Theo;Wunsch;WHKTNfUlLO@example.com;335527892;Apr 5 2011;8296 Danuta Park;1;Surgery
54044307826;Sharyn;Konopelski;QtxIgglIDt@example.com;990421796;Nov 5 1934;799 Bao Heights;0;Radiation oncology
40417731881;Freddy;Hagenes;IOgDRZTzzt@example.com;616765678;Mar 28 1954;75357 Nikolaus Green;1;Psychiatry
24037582066;Kelley;Blick;rFIbywhXkV@example.com;586429145;Aug 27 1982;1213 Leanora Grove;0;Pathology
70262047705;Helen;Collins;ZdtfIsRgdm@example.com;264231825;Jan 8 2018;738 VonRueden Underpass;0;Urology
96568840159;Dwight;Hintz;KAkUbZkdds@example.com;835450354;Apr 25 1952;501 Cummerata Ville;1;Internal medicine
31127345006;Marline;Homenick;hIodJuNvTJ@example.com;987348706;Aug 8 1961;4680 Schamberger Unions;0;Family medicine
60014474516;Bertie;Brown;fxyUNkqzig@example.com;456194827;Sep 13 1964;3538 Wolf Circle;0;Medical genetics
79591823399;Arianne;Morissette;htKrFKckHM@example.com;927596405;Nov 8 1975;917 Celinda Locks;0;Family medicine
10940373029;Jae;Franecki;ljHRWfPysZ@example.com;382565107;Oct 16 2016;991 Ullrich Walks;1;Anesthesiology
26111790118;Yasuko;Balistreri;OzngFirCbt@example.com;570708551;Mar 20 1931;898 Walker Vista;1;Urology
11359544656;Marco;Jones;bgHsStCcac@example.com;687375548;Mar 30 2012;71784 Hoppe Passage;1;Surgery
