pesel;name;surname;email;phone_num;born;address;disability;medical_specialization
75588613502;Rosella;Pouros;TyNBGiZoUj@example.com;456141616;Dec 11 1938;535 Deckow Cape;0;Allergy and immunology
29166222966;Felicidad;Gleichner;XuFDfTyBoo@example.com;113892041;Sep 20 1960;1813 Charles Island;1;Family medicine
19888208232;Sylvester;Crona;fxmHhPbiVQ@example.com;437545488;Dec 1 1997;70556 Gleason Harbors;0;Allergy and immunology
70346280165;Steffanie;Torphy;SDJJVjGqZt@example.com;538524702;Oct 14 1990;1621 Carroll Springs;1;Urology
57931313398;Marylou;Mayert;HrQcyoyOMW@example.com;570385911;Dec 20 1959;81937 Hans Overpass;0;Allergy and immunology
61850300059;Bart;Nienow;SPFkNsAvTy@example.com;532973514;Sep 24 1988;692 Diamond Club;0;Radiation oncology
81511972456;Octavio;Mills;DUTjIYwCaM@example.com;565876148;Jun 18 1996;763 Jonah Gardens;0;Nuclear medicine
14414024495;Kent;Hauck;NOQylcyXeu@example.com;635126228;May 6 1991;211 Haley Road;0;Preventive medicine
71454965521;Jadwiga;Ortiz;IQwZhjtjcp@example.com;781433500;Oct 9 1926;630 Jason Stream;1;Psychiatry
84647309634;Ernie;Stark;aeXxYqSnTH@example.com;287673654;Jun 13 1959;939 Halvorson Keys;0;Allergy and immunology
47453408373;Miguel;Stamm;SvtVhQiISU@example.com;155192660;Apr 2 1975;54147 Josef Causeway;1;Urology
52200413054;Pok;Nolan;QJIEkExEvB@example.com;565685667;Dec 16 1960;939 Randi Shoal;0;Allergy and immunology
22607813523;Terrence;Wyman;fkxktuZGLZ@example.com;135987214;Aug 16 1937;76333 Giovanni Viaduct;1;Neurology
36763021093;Ariel;Tillman;AeGUxQQYqZ@example.com;125309806;Mar 27 1965;852 Maria Lock;0;Anesthesiology
47451081814;Lisandra;Thompson;logYyQyJtt@example.com;182373065;Oct 10 1952;23213 Rogelio Extension;1;Nuclear medicine
89756346855;Dudley;Howell;PbsaybXhUP@example.com;864984982;Jul 20 1933;1553 Kimberly Spurs;1;Dermatology
19284820324;Trang;Stoltenberg;ZNtAhNBdjN@example.com;634164692;May 7 2008;86094 Corwin Rapid;1;Radiation oncology
48901565150;Lucile;Renner;imbBnoMtHR@example.com;126475152;May 2 1991;5380 Renata Crest;0;Neurology
96116533491;Lloyd;Kuphal;HAaHdQAhse@example.com;273004639;Jul 30 1995;16506 Nolan Curve;1;Family medicine
