pesel;name;surname;email;phone_num;born;address;disability;medical_offer
18117310438;Veda;Kuvalis;aHAzKQIkKg@example.com;142329977;Sep 18 1944;97239 Russel Route;1;None
14686743397;Bonita;Schmidt;qxIxsLZbZn@example.com;368350704;Sep 8 1958;932 Vinita Wells;1;None
97361963814;Elidia;Shields;GDTWeQVLgR@example.com;980023917;Jan 31 1947;4198 McLaughlin Extensions;0;None
95629542376;Porter;Sporer;TSzwROXKMl@example.com;106858075;May 12 1975;086 Wiza Hollow;1;None
91767201244;Kimi;Rolfson;bPLlTNpplP@example.com;991378193;Mar 11 1949;1419 Lorretta Square;0;None
94020461585;Carson;Heller;ScdQUIOucp@example.com;626058585;Aug 8 1950;58323 Ruecker Plains;0;None
93428908243;Jessie;Mertz;iuZFiIrtaG@example.com;679766153;Aug 3 1948;0133 Tommie Fall;1;None
58907637546;Holli;Kautzer;thlsvKYCYy@example.com;380229287;Apr 18 1931;475 Olive Walk;1;None
45283134226;Rayford;Collins;mHtIrvOmps@example.com;267767802;Oct 19 1962;8921 Sporer Wall;0;None
88767752930;Renita;Morar;BGjdcPvIDv@example.com;605299739;Mar 3 1931;4369 Lanny Hollow;1;None
84229266548;Arnoldo;Wisoky;jpCjjlaeEX@example.com;689580299;Dec 1 1930;3077 Dalene Throughway;0;None
41761290544;Horacio;Braun;ciiDQtcsDI@example.com;640902689;May 13 2014;352 Amos Trafficway;0;None
73805098788;Maurice;Kub;svtNVqGidN@example.com;555655437;Jan 25 1966;6696 Grant Crossing;1;None
19856203671;Bret;Hagenes;sdKCfiMlAJ@example.com;730196881;Nov 12 1961;651 Lockman Plaza;0;None
94249447864;Drew;Kirlin;IaXYnguXCI@example.com;697624960;Mar 12 1999;99926 Windler Trail;0;None
33829724276;Delbert;Lubowitz;yJUPLaPHvN@example.com;172329553;Aug 18 2000;952 Conroy Spring;0;None
33445775773;Letitia;Auer;rYRdMmillz@example.com;400021442;Jul 25 2003;586 Cronin Stravenue;1;None
45335318053;Cliff;Hilll;pwYEeOHvGD@example.com;278007943;Sep 8 1983;165 Toy Parkway;1;None
20085222709;Jame;Wehner;stVFGgmskV@example.com;860812123;Apr 23 1993;039 Lakisha Falls;0;None
28204044593;Shayne;Hills;aLAPshELys@example.com;913127032;Dec 6 1940;521 Beahan Place;0;None
62362797360;Tyler;Cronin;CczbKYCMnw@example.com;833745318;Jan 1 1974;909 Bernardo Glen;1;None
21292823814;Zita;McClure;rmOhgNeUGX@example.com;490151215;Dec 13 1950;83852 Phil Village;0;None
51670321134;Perry;O'Keefe;bRElKPfIpL@example.com;843362909;Jun 20 1954;318 Wyman Rapids;0;None
79251469309;Lacey;Balistreri;QePGlbzxIS@example.com;422615337;Jan 2 1932;760 Rusty Via;1;None
82390380282;Adrian;Zboncak;qwYElPUXyo@example.com;941455360;Mar 14 1978;115 Cummerata Valleys;1;None
89615392090;Muriel;Greenholt;LKZZzALMxc@example.com;187222837;Feb 2 1972;885 Monahan Ways;1;None
18817261997;Andrea;Kovacek;lxBXDZyoAN@example.com;417077443;Jun 5 1978;6895 Crist Viaduct;1;None
98486365724;Moshe;Lebsack;yLtRHFveAu@example.com;953153744;Nov 12 1936;732 Bechtelar Tunnel;1;None
18396842168;Gene;Wilderman;WIgPQuvMXl@example.com;580346548;Jan 15 1990;07380 Boehm Roads;0;None
86655577394;Velma;Keebler;OEHExUPWja@example.com;130910185;Jul 9 2008;587 Dorian Parkway;0;None
78705562386;Mercy;Torphy;EfrDuIcjZS@example.com;830320981;Feb 17 1968;07712 Joleen Village;0;None
84554625021;Saturnina;Brakus;XiFNZzCugn@example.com;431020441;Apr 9 2013;43946 Trantow Loaf;0;None
17407282614;Roselia;Bode;JUNIeSLDap@example.com;995588990;Sep 3 1990;133 Considine Walk;1;None
